Total,Year,residence,region,wealth_q,elderly_hoh,sex_hoh,sex_ch,mother_edu,age_in_months,ch_age_cat_0_5,ch_age_cat_6_8,ch_age_cat_9_23,ch_age_cat_12_23,ch_age_cat_6_23,ch_age_cat_6_59,chweight,breastmilk,cont_1223_bf
Total,2000,Rural,Plain,Middle,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: Secondary,21.0,0,0,100,100,100,100,1.645146,0,0.0
Total,2000,Rural,Plain,Rich,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: Secondary,37.0,0,0,0,0,0,100,1.645146,0,
Total,2000,Rural,Plain,Poor,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: Secondary,8.0,0,100,0,0,100,100,1.645146,100,
Total,2000,Rural,Plain,Rich,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: None/ECE,12.0,0,0,100,100,100,100,1.645146,100,100.0
Total,2000,Rural,Plain,Richest,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: Primary,7.0,0,100,0,0,100,100,1.645146,100,
Total,2000,Rural,Plain,Poorest,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: Primary,41.0,0,0,0,0,0,100,1.645146,0,
Total,2000,Rural,Plain,Middle,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: Primary,2.0,100,0,0,0,0,0,1.645146,100,
Total,2000,Rural,Plain,Middle,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: Primary,16.0,0,0,100,100,100,100,1.657291,0,0.0
Total,2000,Rural,Plain,Rich,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: Secondary,29.0,0,0,0,0,0,100,1.657291,0,
Total,2000,Rural,Plain,Rich,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: Primary,,0,0,0,0,0,0,1.657291,0,
Total,2000,Rural,Plain,Richest,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: Secondary,52.0,0,0,0,0,0,100,1.657291,0,
Total,2000,Rural,Plain,Rich,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: Secondary,,0,0,0,0,0,0,1.657291,0,
Total,2000,Rural,Plain,Middle,Elderly HoH: YES,Female,CH Sex: Male,Mother Edu: Primary,1.0,100,0,0,0,0,0,1.657291,100,
Total,2000,Rural,Plain,Richest,Elderly HoH: YES,Male,CH Sex: Male,Mother Edu: Secondary,6.0,0,100,0,0,100,100,1.657291,100,
Total,2000,Rural,Plain,Middle,Elderly HoH: NO,Female,CH Sex: Male,Mother Edu: Primary,27.0,0,0,0,0,0,100,1.657291,0,
Total,2000,Rural,Plain,Rich,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: Primary,37.0,0,0,0,0,0,100,1.657291,0,
Total,2000,Rural,Plain,Poor,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: None/ECE,8.0,0,100,0,0,100,100,1.607503,100,
Total,2000,Rural,Plain,Rich,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: Primary,27.0,0,0,0,0,0,100,1.607503,0,
Total,2000,Rural,Plain,Richest,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: Secondary,35.0,0,0,0,0,0,100,1.607503,0,
Total,2000,Rural,Plain,Poorest,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: Primary,57.0,0,0,0,0,0,100,1.607503,0,
Total,2000,Rural,Plain,Middle,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: Primary,30.0,0,0,0,0,0,100,1.607503,0,
Total,2000,Rural,Plain,Poor,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: None/ECE,31.0,0,0,0,0,0,100,1.607503,0,
Total,2000,Rural,Plain,Poorest,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: Primary,32.0,0,0,0,0,0,100,1.607503,0,
Total,2000,Rural,Plain,Poorest,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: Primary,46.0,0,0,0,0,0,100,1.607503,0,
Total,2000,Rural,Plain,Middle,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: None/ECE,2.0,100,0,0,0,0,0,1.607503,100,
Total,2000,Rural,Plain,Middle,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: Primary,55.0,0,0,0,0,0,100,1.607503,0,
Total,2000,Rural,Plain,Poor,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: Primary,23.0,0,0,100,100,100,100,1.607503,0,0.0
Total,2000,Rural,Plain,Poor,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: Secondary,15.0,0,0,100,100,100,100,1.607503,100,100.0
Total,2000,Rural,Plain,Poor,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: None/ECE,,0,0,0,0,0,0,1.607503,0,
Total,2000,Rural,Plain,Poorest,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: Primary,20.0,0,0,100,100,100,100,1.607503,0,0.0
Total,2000,Rural,Plain,Poorest,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: None/ECE,,0,0,0,0,0,0,1.607503,0,
Total,2000,Rural,Plain,Poorest,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: Primary,46.0,0,0,0,0,0,100,1.607503,0,
Total,2000,Rural,Plain,Poorest,Elderly HoH: NO,Female,CH Sex: Male,Mother Edu: None/ECE,14.0,0,0,100,100,100,100,1.607503,100,100.0
Total,2000,Rural,Plain,Middle,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: Primary,57.0,0,0,0,0,0,100,1.653294,0,
Total,2000,Rural,Plain,Middle,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: Primary,52.0,0,0,0,0,0,100,1.653294,0,
Total,2000,Rural,Plain,Middle,Elderly HoH: YES,Male,CH Sex: Female,Mother Edu: None/ECE,21.0,0,0,100,100,100,100,1.653294,0,0.0
Total,2000,Rural,Plain,Middle,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: None/ECE,47.0,0,0,0,0,0,100,1.653294,0,
Total,2000,Rural,Plain,Poor,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: Primary,22.0,0,0,100,100,100,100,1.653294,100,100.0
Total,2000,Rural,Plain,Poor,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: Primary,15.0,0,0,100,100,100,100,1.653294,100,100.0
Total,2000,Rural,Plain,Poor,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: Primary,27.0,0,0,0,0,0,100,1.653294,0,
Total,2000,Rural,Plain,Poor,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: None/ECE,5.0,100,0,0,0,0,0,1.653294,100,
Total,2000,Rural,Plain,Poorest,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: None/ECE,1.0,100,0,0,0,0,0,1.653294,100,
Total,2000,Rural,Plain,Poor,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: Primary,40.0,0,0,0,0,0,100,1.653294,0,
Total,2000,Rural,Plain,Poorest,Elderly HoH: YES,Male,CH Sex: Male,Mother Edu: Primary,17.0,0,0,100,100,100,100,1.653294,100,100.0
Total,2000,Rural,Plain,Poorest,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: None/ECE,5.0,100,0,0,0,0,0,1.653294,100,
Total,2000,Rural,Plain,Rich,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: Primary,49.0,0,0,0,0,0,100,1.653294,0,
Total,2000,Rural,Plain,Rich,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: Primary,10.0,0,0,100,0,100,100,1.653294,100,
Total,2000,Rural,Plain,Poorest,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: None/ECE,36.0,0,0,0,0,0,100,1.653294,0,
Total,2000,Rural,Plain,Poor,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: Primary,37.0,0,0,0,0,0,100,1.653294,100,
Total,2000,Rural,Plain,Poorest,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: Primary,58.0,0,0,0,0,0,100,1.653294,0,
Total,2000,Rural,Plain,Rich,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: Primary,45.0,0,0,0,0,0,100,1.653294,0,
Total,2000,Rural,Plain,Rich,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: None/ECE,7.0,0,100,0,0,100,100,1.653294,100,
Total,2000,Rural,Plain,Middle,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: Primary,31.0,0,0,0,0,0,100,1.619553,0,
Total,2000,Rural,Plain,Poor,Elderly HoH: YES,Female,CH Sex: Female,Mother Edu: Primary,9.0,0,0,100,0,100,100,1.619553,100,
Total,2000,Rural,Plain,Rich,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: None/ECE,48.0,0,0,0,0,0,100,1.619553,0,
Total,2000,Rural,Plain,Poorest,Elderly HoH: YES,Female,CH Sex: Male,Mother Edu: Primary,12.0,0,0,100,100,100,100,1.619553,100,100.0
Total,2000,Rural,Plain,Middle,Elderly HoH: NO,Female,CH Sex: Female,Mother Edu: Primary,58.0,0,0,0,0,0,100,1.619553,0,
Total,2000,Rural,Plain,Rich,Elderly HoH: NO,Female,CH Sex: Female,Mother Edu: Primary,7.0,0,100,0,0,100,100,1.619553,100,
Total,2000,Rural,Plain,Rich,Elderly HoH: YES,Female,CH Sex: Female,Mother Edu: Secondary,29.0,0,0,0,0,0,100,1.619553,0,
Total,2000,Rural,Plain,Middle,Elderly HoH: NO,Female,CH Sex: Male,Mother Edu: Primary,0.0,100,0,0,0,0,0,1.619553,100,
Total,2000,Rural,Plain,Poor,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: Primary,39.0,0,0,0,0,0,100,1.619553,0,
Total,2000,Rural,Plain,Poorest,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: Primary,8.0,0,100,0,0,100,100,1.619553,100,
Total,2000,Rural,Plain,Middle,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: Primary,0.0,100,0,0,0,0,0,1.619553,100,
Total,2000,Rural,Plain,Rich,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: Primary,57.0,0,0,0,0,0,100,1.619553,0,
Total,2000,Rural,Plain,Middle,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: Primary,,0,0,0,0,0,0,1.65486,0,
Total,2000,Rural,Plain,Middle,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: Primary,28.0,0,0,0,0,0,100,1.65486,0,
Total,2000,Rural,Plain,Middle,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: Primary,12.0,0,0,100,100,100,100,1.65486,100,100.0
Total,2000,Rural,Plain,Rich,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: Primary,25.0,0,0,0,0,0,100,1.65486,100,
Total,2000,Rural,Plain,Poor,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: Primary,19.0,0,0,100,100,100,100,1.65486,100,100.0
Total,2000,Rural,Plain,Poor,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: None/ECE,12.0,0,0,100,100,100,100,1.65486,100,100.0
Total,2000,Rural,Plain,Poor,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: Primary,9.0,0,0,100,0,100,100,1.65486,100,
Total,2000,Rural,Plain,Rich,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: Primary,8.0,0,100,0,0,100,100,1.656522,100,
Total,2000,Rural,Plain,Richest,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: Primary,53.0,0,0,0,0,0,100,1.656522,0,
Total,2000,Rural,Plain,Poor,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: None/ECE,9.0,0,0,100,0,100,100,1.656522,100,
Total,2000,Rural,Plain,Poor,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: Primary,59.0,0,0,0,0,0,100,1.656522,0,
Total,2000,Rural,Plain,Poor,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: Primary,30.0,0,0,0,0,0,100,1.656522,100,
Total,2000,Rural,Plain,Middle,Elderly HoH: NO,Female,CH Sex: Female,Mother Edu: Primary,13.0,0,0,100,100,100,100,1.656522,100,100.0
Total,2000,Rural,Plain,Poor,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: Primary,19.0,0,0,100,100,100,100,1.656522,0,0.0
Total,2000,Rural,Plain,Poor,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: None/ECE,29.0,0,0,0,0,0,100,1.656522,0,
Total,2000,Rural,Plain,Poor,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: Primary,20.0,0,0,100,100,100,100,1.61666,100,100.0
Total,2000,Rural,Plain,Rich,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: None/ECE,7.0,0,100,0,0,100,100,1.61666,100,
Total,2000,Rural,Plain,Rich,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: Secondary,34.0,0,0,0,0,0,100,1.61666,100,
Total,2000,Rural,Plain,Poor,Elderly HoH: NO,Female,CH Sex: Male,Mother Edu: Secondary,,0,0,0,0,0,0,1.61666,0,
Total,2000,Rural,Plain,Poorest,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: Primary,0.0,100,0,0,0,0,0,1.61666,100,
Total,2000,Rural,Plain,Poor,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: None/ECE,41.0,0,0,0,0,0,100,1.61666,0,
Total,2000,Rural,Plain,Rich,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: Primary,32.0,0,0,0,0,0,100,1.61666,100,
Total,2000,Rural,Plain,Poorest,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: None/ECE,20.0,0,0,100,100,100,100,1.61666,100,100.0
Total,2000,Rural,Plain,Middle,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: None/ECE,6.0,0,100,0,0,100,100,1.61666,100,
Total,2000,Rural,Plain,Middle,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: Primary,13.0,0,0,100,100,100,100,1.61666,100,100.0
Total,2000,Rural,Plain,Poor,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: Primary,19.0,0,0,100,100,100,100,1.61666,100,100.0
Total,2000,Rural,Plain,Rich,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: Primary,24.0,0,0,0,0,0,100,1.654265,0,
Total,2000,Rural,Plain,Richest,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: None/ECE,40.0,0,0,0,0,0,100,1.654265,0,
Total,2000,Rural,Plain,Rich,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: Primary,36.0,0,0,0,0,0,100,1.654265,0,
Total,2000,Rural,Plain,Poor,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: Primary,,0,0,0,0,0,0,1.654265,0,
Total,2000,Rural,Plain,Poor,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: None/ECE,24.0,0,0,0,0,0,100,1.654265,100,
Total,2000,Rural,Plain,Poorest,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: Primary,38.0,0,0,0,0,0,100,1.654265,0,
Total,2000,Rural,Plain,Middle,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: Primary,30.0,0,0,0,0,0,100,1.654265,0,
Total,2000,Rural,Plain,Poor,Elderly HoH: YES,Female,CH Sex: Male,Mother Edu: Primary,18.0,0,0,100,100,100,100,1.654265,100,100.0
Total,2000,Rural,Plain,Poor,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: None/ECE,31.0,0,0,0,0,0,100,1.654265,0,
Total,2000,Rural,Plain,Middle,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: Primary,,0,0,0,0,0,0,1.654265,0,
Total,2000,Rural,Plain,Poor,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: Primary,3.0,100,0,0,0,0,0,1.654265,100,
Total,2000,Rural,Plain,Richest,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: Secondary,54.0,0,0,0,0,0,100,1.612979,100,
Total,2000,Rural,Plain,Rich,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: None/ECE,3.0,100,0,0,0,0,0,1.612979,100,
Total,2000,Rural,Plain,Rich,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: None/ECE,53.0,0,0,0,0,0,100,1.612979,0,
Total,2000,Rural,Plain,Rich,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: Primary,46.0,0,0,0,0,0,100,1.612979,0,
Total,2000,Rural,Plain,Richest,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: Primary,1.0,100,0,0,0,0,0,1.612979,100,
Total,2000,Rural,Plain,Rich,Elderly HoH: YES,Female,CH Sex: Female,Mother Edu: Primary,46.0,0,0,0,0,0,100,1.612979,0,
Total,2000,Rural,Plain,Middle,Elderly HoH: NO,Female,CH Sex: Male,Mother Edu: Primary,,0,0,0,0,0,0,1.612979,0,
Total,2000,Rural,Plain,Rich,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: Primary,38.0,0,0,0,0,0,100,1.612979,0,
Total,2000,Rural,Plain,Richest,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: Primary,46.0,0,0,0,0,0,100,1.612979,0,
Total,2000,Rural,Plain,Poor,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: Primary,13.0,0,0,100,100,100,100,1.62389,100,100.0
Total,2000,Rural,Plain,Poor,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: None/ECE,26.0,0,0,0,0,0,100,1.62389,0,
Total,2000,Rural,Plain,Middle,Elderly HoH: NO,Female,CH Sex: Female,Mother Edu: Primary,10.0,0,0,100,0,100,100,1.62389,100,
Total,2000,Rural,Plain,Middle,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: Secondary,6.0,0,100,0,0,100,100,1.62389,100,
Total,2000,Rural,Plain,Rich,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: None/ECE,19.0,0,0,100,100,100,100,1.62389,100,100.0
Total,2000,Rural,Plain,Rich,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: Primary,47.0,0,0,0,0,0,100,1.62389,0,
Total,2000,Rural,Plain,Richest,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: Primary,,0,0,0,0,0,0,1.62389,0,
Total,2000,Rural,Plain,Rich,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: None/ECE,21.0,0,0,100,100,100,100,1.62389,0,0.0
Total,2000,Rural,Plain,Rich,Elderly HoH: NO,Female,CH Sex: Male,Mother Edu: Secondary,30.0,0,0,0,0,0,100,1.62389,0,
Total,2000,Rural,Plain,Rich,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: Secondary,43.0,0,0,0,0,0,100,1.62389,0,
Total,2000,Rural,Plain,Rich,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: Primary,24.0,0,0,0,0,0,100,1.62389,100,
Total,2000,Rural,Plain,Middle,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: Secondary,8.0,0,100,0,0,100,100,1.62389,100,
Total,2000,Rural,Plain,Rich,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: Secondary,5.0,100,0,0,0,0,0,1.62389,100,
Total,2000,Rural,Plain,Middle,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: Primary,2.0,100,0,0,0,0,0,1.62389,100,
Total,2000,Rural,Plain,Middle,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: Primary,5.0,100,0,0,0,0,0,1.607503,100,
Total,2000,Rural,Plain,Middle,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: None/ECE,7.0,0,100,0,0,100,100,1.607503,100,
Total,2000,Rural,Plain,Poor,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: None/ECE,51.0,0,0,0,0,0,100,1.607503,0,
Total,2000,Rural,Plain,Rich,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: None/ECE,29.0,0,0,0,0,0,100,1.607503,0,
Total,2000,Rural,Plain,Middle,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: Primary,32.0,0,0,0,0,0,100,1.607503,0,
Total,2000,Rural,Plain,Rich,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: Primary,24.0,0,0,0,0,0,100,1.607503,0,
Total,2000,Rural,Plain,Rich,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: Primary,30.0,0,0,0,0,0,100,1.607503,0,
Total,2000,Rural,Plain,Rich,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: None/ECE,9.0,0,0,100,0,100,100,1.607503,100,
Total,2000,Rural,Plain,Rich,Elderly HoH: YES,Female,CH Sex: Male,Mother Edu: None/ECE,27.0,0,0,0,0,0,100,1.607503,0,
Total,2000,Rural,Plain,Rich,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: Primary,52.0,0,0,0,0,0,100,1.607503,0,
Total,2000,Rural,Plain,Poor,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: Secondary,34.0,0,0,0,0,0,100,1.607503,0,
Total,2000,Rural,Plain,Middle,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: None/ECE,14.0,0,0,100,100,100,100,1.607503,100,100.0
Total,2000,Rural,Plain,Poor,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: Primary,4.0,100,0,0,0,0,0,1.607503,100,
Total,2000,Rural,Plain,Rich,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: Primary,46.0,0,0,0,0,0,100,1.607503,0,
Total,2000,Rural,Plain,Rich,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: Primary,41.0,0,0,0,0,0,100,1.607503,0,
Total,2000,Rural,Plain,Rich,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: Secondary,13.0,0,0,100,100,100,100,1.607503,0,0.0
Total,2000,Rural,Plain,Rich,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: Primary,43.0,0,0,0,0,0,100,1.610351,0,
Total,2000,Rural,Plain,Richest,Elderly HoH: YES,Female,CH Sex: Male,Mother Edu: Secondary,1.0,100,0,0,0,0,0,1.610351,100,
Total,2000,Rural,Plain,Richest,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: Secondary,1.0,100,0,0,0,0,0,1.610351,100,
Total,2000,Rural,Plain,Rich,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: None/ECE,5.0,100,0,0,0,0,0,1.610351,100,
Total,2000,Rural,Plain,Rich,Elderly HoH: YES,Female,CH Sex: Female,Mother Edu: Secondary,13.0,0,0,100,100,100,100,1.610351,100,100.0
Total,2000,Rural,Plain,Middle,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: Primary,4.0,100,0,0,0,0,0,1.610351,100,
Total,2000,Rural,Plain,Rich,Elderly HoH: YES,Male,CH Sex: Female,Mother Edu: Secondary,30.0,0,0,0,0,0,100,1.610351,0,
Total,2000,Rural,Plain,Rich,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: Secondary,30.0,0,0,0,0,0,100,1.610351,0,
Total,2000,Rural,Plain,Rich,Elderly HoH: YES,Male,CH Sex: Female,Mother Edu: Secondary,,0,0,0,0,0,0,1.610351,0,
Total,2000,Rural,Plain,Middle,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: Primary,2.0,100,0,0,0,0,0,1.610351,100,
Total,2000,Rural,Plain,Rich,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: Secondary,17.0,0,0,100,100,100,100,1.610351,0,0.0
Total,2000,Rural,Plain,Poor,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: Primary,0.0,100,0,0,0,0,0,2.12713,100,
Total,2000,Rural,Plain,Poorest,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: Primary,11.0,0,0,100,0,100,100,2.12713,100,
Total,2000,Rural,Plain,Poor,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: None/ECE,22.0,0,0,100,100,100,100,2.12713,100,100.0
Total,2000,Rural,Plain,Poorest,Elderly HoH: NO,Female,CH Sex: Male,Mother Edu: Primary,,0,0,0,0,0,0,2.12713,0,
Total,2000,Rural,Plain,Rich,Elderly HoH: YES,Female,CH Sex: Female,Mother Edu: Primary,33.0,0,0,0,0,0,100,2.12713,100,
Total,2000,Rural,Plain,Middle,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: None/ECE,41.0,0,0,0,0,0,100,2.12713,100,
Total,2000,Rural,Plain,Rich,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: Primary,4.0,100,0,0,0,0,0,2.12713,100,
Total,2000,Rural,Plain,Rich,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: Primary,27.0,0,0,0,0,0,100,2.12713,100,
Total,2000,Rural,Plain,Poorest,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: Primary,0.0,100,0,0,0,0,0,2.12713,100,
Total,2000,Rural,Plain,Poor,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: Primary,23.0,0,0,100,100,100,100,2.12713,100,100.0
Total,2000,Rural,Plain,Rich,Elderly HoH: NO,Female,CH Sex: Male,Mother Edu: Primary,10.0,0,0,100,0,100,100,2.12713,100,
Total,2000,Rural,Plain,Poorest,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: Primary,,0,0,0,0,0,0,2.12713,0,
Total,2000,Rural,Plain,Poor,Elderly HoH: NO,Female,CH Sex: Male,Mother Edu: None/ECE,27.0,0,0,0,0,0,100,2.12713,100,
Total,2000,Rural,Plain,Middle,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: Primary,53.0,0,0,0,0,0,100,2.12713,0,
Total,2000,Rural,Plain,Poor,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: None/ECE,19.0,0,0,100,100,100,100,1.630134,100,100.0
Total,2000,Rural,Plain,Poor,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: None/ECE,19.0,0,0,100,100,100,100,1.630134,0,0.0
Total,2000,Rural,Plain,Poorest,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: None/ECE,14.0,0,0,100,100,100,100,1.630134,100,100.0
Total,2000,Rural,Plain,Poor,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: Primary,56.0,0,0,0,0,0,100,1.630134,0,
Total,2000,Rural,Plain,Middle,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: None/ECE,12.0,0,0,100,100,100,100,1.630134,100,100.0
Total,2000,Rural,Plain,Poor,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: Primary,25.0,0,0,0,0,0,100,1.630134,100,
Total,2000,Rural,Plain,Rich,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: Primary,23.0,0,0,100,100,100,100,1.630134,0,0.0
Total,2000,Rural,Plain,Poor,Elderly HoH: YES,Female,CH Sex: Male,Mother Edu: Primary,19.0,0,0,100,100,100,100,1.630134,100,100.0
Total,2000,Rural,Plain,Middle,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: Primary,33.0,0,0,0,0,0,100,1.630134,0,
Total,2000,Rural,Plain,Rich,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: None/ECE,37.0,0,0,0,0,0,100,1.658535,0,
Total,2000,Rural,Plain,Poorest,Elderly HoH: NO,Female,CH Sex: Male,Mother Edu: None/ECE,41.0,0,0,0,0,0,100,1.658535,0,
Total,2000,Rural,Plain,Poor,Elderly HoH: NO,Female,CH Sex: Female,Mother Edu: Primary,1.0,100,0,0,0,0,0,1.658535,100,
Total,2000,Rural,Plain,Middle,Elderly HoH: YES,Female,CH Sex: Female,Mother Edu: None/ECE,27.0,0,0,0,0,0,100,1.658535,100,
Total,2000,Rural,Plain,Rich,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: Primary,6.0,0,100,0,0,100,100,1.658535,100,
