Total,Year,residence,region,wealth_q,elderly_hoh,sex_hoh,sex_ch,mother_edu,age_in_months,ch_age_cat_0_5,ch_age_cat_6_8,ch_age_cat_9_23,ch_age_cat_12_23,ch_age_cat_6_23,ch_age_cat_6_59,chweight,breastmilk,liquids_none,solids_none,excl_bf,cont_1223_bf,grains,legumes,dairy,flesh,eggs,vitaminA,other,mdd_ch,formula_times,other_milk_times,yogurt_times,solid_semi_soft_times,mmf_bf_68,mmf_bf_923,solid_semi_soft_milk_times,mmf_nbf_623,mmf_ch,mad_bf_623,milk_feeds_2,mad_nbf_623,mad_ch
Total,2010,Rural,Great Lake,Middle,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: Primary,2.0,100,0,0,0,0,0,0.871012,100,100,100,100.0,,0,0,0,0,0,0,0,,,,,,0,0,0,0,,0,0,0,
Total,2010,Rural,Great Lake,Poorest,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: Primary,56.0,0,0,0,0,0,100,0.871012,0,100,100,,,0,0,0,0,0,0,0,,,,,,0,0,0,0,,0,0,0,
Total,2010,Rural,Great Lake,Middle,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: None/ECE,40.0,0,0,0,0,0,100,0.871012,0,100,100,,,0,0,0,0,0,0,0,,,,,,0,0,0,0,,0,0,0,
Total,2010,Rural,Great Lake,Middle,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: Secondary,32.0,0,0,0,0,0,100,0.871012,100,100,100,,,0,0,0,0,0,0,0,,,,,,0,0,0,0,,0,0,0,
Total,2010,Rural,Great Lake,Poor,Elderly HoH: NO,Female,CH Sex: Male,Mother Edu: None/ECE,16.0,0,0,100,100,100,100,0.871012,100,0,0,,100.0,100,0,0,100,100,100,0,100.0,,,,4.0,0,100,100,0,100.0,100,0,0,100.0
Total,2010,Rural,Great Lake,Richest,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: Primary,59.0,0,0,0,0,0,100,0.767377,0,100,100,,,0,0,0,0,0,0,0,,,,,,0,0,0,0,,0,0,0,
Total,2010,Rural,Great Lake,Poor,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: Primary,37.0,0,0,0,0,0,100,0.767377,0,100,100,,,0,0,0,0,0,0,0,,,,,,0,0,0,0,,0,0,0,
Total,2010,Rural,Great Lake,Middle,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: Primary,55.0,0,0,0,0,0,100,0.767377,0,100,100,,,0,0,0,0,0,0,0,,,,,,0,0,0,0,,0,0,0,
Total,2010,Rural,Great Lake,Rich,Elderly HoH: YES,Male,CH Sex: Male,Mother Edu: Primary,49.0,0,0,0,0,0,100,0.767377,0,100,100,,,0,0,0,0,0,0,0,,,,,,0,0,0,0,,0,0,0,
Total,2010,Rural,Great Lake,Rich,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: Primary,43.0,0,0,0,0,0,100,0.767377,0,100,100,,,0,0,0,0,0,0,0,,,,,,0,0,0,0,,0,0,0,
Total,2010,Rural,Great Lake,Middle,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: Primary,55.0,0,0,0,0,0,100,0.767377,0,100,100,,,0,0,0,0,0,0,0,,,,,,0,0,0,0,,0,0,0,
Total,2010,Rural,Great Lake,Rich,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: Secondary,41.0,0,0,0,0,0,100,0.767377,0,100,100,,,0,0,0,0,0,0,0,,,,,,0,0,0,0,,0,0,0,
Total,2010,Rural,Great Lake,Richest,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: Primary,29.0,0,0,0,0,0,100,0.767377,0,100,100,,,0,0,0,0,0,0,0,,,,,,0,0,0,0,,0,0,0,
Total,2010,Rural,Great Lake,Rich,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: Secondary,52.0,0,0,0,0,0,100,0.767377,0,100,100,,,0,0,0,0,0,0,0,,,,,,0,0,0,0,,0,0,0,
Total,2010,Rural,Great Lake,Rich,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: None/ECE,35.0,0,0,0,0,0,100,0.767377,100,100,100,,,0,0,0,0,0,0,0,,,,,,0,0,0,0,,0,0,0,
Total,2010,Rural,Great Lake,Middle,Elderly HoH: NO,Female,CH Sex: Male,Mother Edu: None/ECE,41.0,0,0,0,0,0,100,0.767377,0,100,100,,,0,0,0,0,0,0,0,,,,,,0,0,0,0,,0,0,0,
Total,2010,Rural,Great Lake,Rich,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: None/ECE,28.0,0,0,0,0,0,100,0.767377,0,100,100,,,0,0,0,0,0,0,0,,,,,,0,0,0,0,,0,0,0,
Total,2010,Rural,Great Lake,Middle,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: Primary,48.0,0,0,0,0,0,100,0.767377,0,100,100,,,0,0,0,0,0,0,0,,,,,,0,0,0,0,,0,0,0,
Total,2010,Rural,Great Lake,Poorest,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: Primary,26.0,0,0,0,0,0,100,1.097128,0,100,100,,,0,0,0,0,0,0,0,,,,,,0,0,0,0,,0,0,0,
Total,2010,Rural,Great Lake,Poor,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: None/ECE,15.0,0,0,100,100,100,100,1.097128,100,0,0,,100.0,100,0,0,100,0,100,0,0.0,,,,3.0,0,100,0,0,100.0,0,0,0,0.0
Total,2010,Rural,Great Lake,Poorest,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: None/ECE,45.0,0,0,0,0,0,100,1.097128,0,100,100,,,0,0,0,0,0,0,0,,,,,,0,0,0,0,,0,0,0,
Total,2010,Rural,Great Lake,Poorest,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: None/ECE,45.0,0,0,0,0,0,100,1.097128,0,100,100,,,0,0,0,0,0,0,0,,,,,,0,0,0,0,,0,0,0,
Total,2010,Rural,Great Lake,Poorest,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: None/ECE,40.0,0,0,0,0,0,100,1.097128,0,100,100,,,0,0,0,0,0,0,0,,,,,,0,0,0,0,,0,0,0,
Total,2010,Rural,Great Lake,Poorest,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: Primary,27.0,0,0,0,0,0,100,1.097128,0,100,100,,,0,0,0,0,0,0,0,,,,,,0,0,0,0,,0,0,0,
Total,2010,Rural,Great Lake,Poorest,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: None/ECE,20.0,0,0,100,100,100,100,1.097128,100,0,0,,100.0,100,0,0,100,0,100,100,100.0,,,,3.0,0,100,0,0,100.0,100,0,0,100.0
Total,2010,Rural,Great Lake,Poorest,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: Primary,37.0,0,0,0,0,0,100,1.097128,100,100,100,,,0,0,0,0,0,0,0,,,,,,0,0,0,0,,0,0,0,
Total,2010,Rural,Great Lake,Poorest,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: None/ECE,23.0,0,0,100,100,100,100,1.097128,0,0,0,,0.0,100,0,0,100,0,100,0,0.0,,,,4.0,0,0,100,100,100.0,0,0,0,0.0
Total,2010,Rural,Great Lake,Poorest,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: None/ECE,35.0,0,0,0,0,0,100,1.097128,0,100,100,,,0,0,0,0,0,0,0,,,,,,0,0,0,0,,0,0,0,
Total,2010,Rural,Great Lake,Poorest,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: None/ECE,57.0,0,0,0,0,0,100,1.097128,0,100,100,,,0,0,0,0,0,0,0,,,,,,0,0,0,0,,0,0,0,
Total,2010,Rural,Great Lake,Poor,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: None/ECE,33.0,0,0,0,0,0,100,1.097128,0,100,100,,,0,0,0,0,0,0,0,,,,,,0,0,0,0,,0,0,0,
Total,2010,Rural,Great Lake,Poorest,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: Primary,7.0,0,100,0,0,100,100,1.097128,100,0,0,,,100,0,0,0,0,0,0,0.0,,,,2.0,100,0,0,0,100.0,0,0,0,0.0
Total,2010,Rural,Great Lake,Poorest,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: None/ECE,9.0,0,0,100,0,100,100,1.097128,100,0,0,,,100,0,0,100,0,0,0,0.0,,,,2.0,0,0,0,0,0.0,0,0,0,0.0
Total,2010,Rural,Great Lake,Poorest,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: Primary,30.0,0,0,0,0,0,100,0.862599,100,100,100,,,0,0,0,0,0,0,0,,,,,,0,0,0,0,,0,0,0,
Total,2010,Rural,Great Lake,Poor,Elderly HoH: NO,Female,CH Sex: Male,Mother Edu: None/ECE,28.0,0,0,0,0,0,100,0.862599,100,100,100,,,0,0,0,0,0,0,0,,,,,,0,0,0,0,,0,0,0,
Total,2010,Rural,Great Lake,Poor,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: Primary,21.0,0,0,100,100,100,100,0.862599,100,0,0,,100.0,100,0,0,100,0,100,0,0.0,,,,3.0,0,100,0,0,100.0,0,0,0,0.0
Total,2010,Rural,Great Lake,Rich,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: Primary,30.0,0,0,0,0,0,100,0.862599,0,100,100,,,0,0,0,0,0,0,0,,,,,,0,0,0,0,,0,0,0,
Total,2010,Rural,Great Lake,Poorest,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: None/ECE,,0,0,0,0,0,0,0.862599,0,100,100,,,0,0,0,0,0,0,0,,,,,,0,0,0,0,,0,0,0,
Total,2010,Rural,Great Lake,Middle,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: Primary,12.0,0,0,100,100,100,100,0.862599,100,0,0,,100.0,100,0,0,100,100,0,0,0.0,,,,3.0,0,100,0,0,100.0,0,0,0,0.0
Total,2010,Rural,Great Lake,Middle,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: Primary,2.0,100,0,0,0,0,0,0.862599,100,100,100,100.0,,0,0,0,0,0,0,0,,,,,,0,0,0,0,,0,0,0,
Total,2010,Rural,Great Lake,Poorest,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: Primary,31.0,0,0,0,0,0,100,0.862599,0,100,100,,,0,0,0,0,0,0,0,,,,,,0,0,0,0,,0,0,0,
Total,2010,Rural,Great Lake,Poor,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: None/ECE,38.0,0,0,0,0,0,100,0.862599,0,100,100,,,0,0,0,0,0,0,0,,,,,,0,0,0,0,,0,0,0,
Total,2010,Rural,Great Lake,Poor,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: Primary,,0,0,0,0,0,0,0.862599,0,100,100,,,0,0,0,0,0,0,0,,,,,,0,0,0,0,,0,0,0,
Total,2010,Rural,Great Lake,Poorest,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: Primary,40.0,0,0,0,0,0,100,0.862599,0,100,100,,,0,0,0,0,0,0,0,,,,,,0,0,0,0,,0,0,0,
Total,2010,Rural,Great Lake,Poorest,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: Primary,3.0,100,0,0,0,0,0,0.862599,100,100,100,100.0,,0,0,0,0,0,0,0,,,,,,0,0,0,0,,0,0,0,
Total,2010,Rural,Great Lake,Poorest,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: Primary,8.0,0,100,0,0,100,100,0.73212,100,0,0,,,100,0,0,0,0,0,0,0.0,,,,3.0,100,0,0,0,100.0,0,0,0,0.0
Total,2010,Rural,Great Lake,Poorest,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: Primary,5.0,100,0,0,0,0,0,0.73212,100,0,0,0.0,,100,0,0,100,100,100,0,,,,,2.0,0,0,0,0,,0,0,0,
Total,2010,Rural,Great Lake,Poorest,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: Primary,,0,0,0,0,0,0,0.73212,0,100,100,,,0,0,0,0,0,0,0,,,,,,0,0,0,0,,0,0,0,
Total,2010,Rural,Great Lake,Poorest,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: Primary,7.0,0,100,0,0,100,100,0.73212,100,0,0,,,100,0,0,0,0,0,0,0.0,,,,2.0,100,0,0,0,100.0,0,0,0,0.0
Total,2010,Rural,Great Lake,Poorest,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: Primary,9.0,0,0,100,0,100,100,0.73212,100,0,0,,,100,0,0,100,100,100,0,100.0,,,,4.0,0,100,100,0,100.0,100,0,0,100.0
Total,2010,Rural,Great Lake,Middle,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: Primary,7.0,0,100,0,0,100,100,0.73212,100,0,0,,,100,0,0,100,0,0,0,0.0,,,,3.0,100,0,0,0,100.0,0,0,0,0.0
Total,2010,Rural,Great Lake,Poorest,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: None/ECE,2.0,100,0,0,0,0,0,0.73212,100,100,100,100.0,,0,0,0,0,0,0,0,,,,,,0,0,0,0,,0,0,0,
Total,2010,Rural,Great Lake,Rich,Elderly HoH: YES,Female,CH Sex: Male,Mother Edu: Primary,42.0,0,0,0,0,0,100,0.73212,0,100,100,,,0,0,0,0,0,0,0,,,,,,0,0,0,0,,0,0,0,
Total,2010,Rural,Great Lake,Poorest,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: Primary,44.0,0,0,0,0,0,100,0.73212,0,100,100,,,0,0,0,0,0,0,0,,,,,,0,0,0,0,,0,0,0,
Total,2010,Rural,Great Lake,Poorest,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: Primary,7.0,0,100,0,0,100,100,0.73212,100,0,0,,,100,0,0,100,0,100,0,0.0,,,,2.0,100,0,0,0,100.0,0,0,0,0.0
Total,2010,Rural,Great Lake,Poorest,Elderly HoH: NO,Female,CH Sex: Male,Mother Edu: Primary,16.0,0,0,100,100,100,100,0.73212,100,0,0,,100.0,0,100,0,100,100,100,0,100.0,,,,3.0,0,100,0,0,100.0,100,0,0,100.0
Total,2010,Rural,Great Lake,Poor,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: Primary,42.0,0,0,0,0,0,100,0.750005,0,100,100,,,0,0,0,0,0,0,0,,,,,,0,0,0,0,,0,0,0,
Total,2010,Rural,Great Lake,Middle,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: Primary,32.0,0,0,0,0,0,100,0.750005,100,100,100,,,0,0,0,0,0,0,0,,,,,,0,0,0,0,,0,0,0,
Total,2010,Rural,Great Lake,Poor,Elderly HoH: YES,Female,CH Sex: Female,Mother Edu: Secondary,22.0,0,0,100,100,100,100,0.750005,100,0,0,,100.0,100,0,100,100,100,100,0,100.0,,3.0,,3.0,0,100,100,0,100.0,100,100,0,100.0
Total,2010,Rural,Great Lake,Poorest,Elderly HoH: NO,Female,CH Sex: Female,Mother Edu: Primary,6.0,0,100,0,0,100,100,0.750005,100,0,0,,,100,0,0,100,100,100,0,100.0,,,,3.0,100,0,0,0,100.0,100,0,0,100.0
Total,2010,Rural,Great Lake,Middle,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: Primary,47.0,0,0,0,0,0,100,0.750005,0,100,100,,,0,0,0,0,0,0,0,,,,,,0,0,0,0,,0,0,0,
Total,2010,Rural,Great Lake,Poor,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: Primary,1.0,100,0,0,0,0,0,0.750005,100,100,100,100.0,,0,0,0,0,0,0,0,,,,,,0,0,0,0,,0,0,0,
Total,2010,Rural,Great Lake,Poor,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: Primary,34.0,0,0,0,0,0,100,0.750005,100,100,100,,,0,0,0,0,0,0,0,,,,,,0,0,0,0,,0,0,0,
Total,2010,Rural,Great Lake,Poor,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: Primary,2.0,100,0,0,0,0,0,0.750005,100,100,100,100.0,,0,0,0,0,0,0,0,,,,,,0,0,0,0,,0,0,0,
Total,2010,Rural,Great Lake,Poor,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: Primary,30.0,0,0,0,0,0,100,0.750005,100,100,100,,,0,0,0,0,0,0,0,,,,,,0,0,0,0,,0,0,0,
Total,2010,Rural,Great Lake,Poorest,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: Primary,34.0,0,0,0,0,0,100,0.750005,0,100,100,,,0,0,0,0,0,0,0,,,,,,0,0,0,0,,0,0,0,
Total,2010,Rural,Great Lake,Middle,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: Secondary,23.0,0,0,100,100,100,100,0.750005,0,0,0,,0.0,100,0,100,100,0,100,0,0.0,,1.0,,3.0,0,0,100,100,100.0,0,0,0,0.0
Total,2010,Rural,Great Lake,Middle,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: Primary,41.0,0,0,0,0,0,100,0.750005,0,100,100,,,0,0,0,0,0,0,0,,,,,,0,0,0,0,,0,0,0,
Total,2010,Rural,Great Lake,Poorest,Elderly HoH: NO,Female,CH Sex: Female,Mother Edu: Primary,38.0,0,0,0,0,0,100,0.750005,0,100,100,,,0,0,0,0,0,0,0,,,,,,0,0,0,0,,0,0,0,
Total,2010,Rural,Great Lake,Rich,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: Primary,1.0,100,0,0,0,0,0,0.750005,100,100,100,100.0,,0,0,0,0,0,0,0,,,,,,0,0,0,0,,0,0,0,
Total,2010,Rural,Great Lake,Richest,Elderly HoH: NO,Female,CH Sex: Female,Mother Edu: Primary,34.0,0,0,0,0,0,100,0.743546,0,100,100,,,0,0,0,0,0,0,0,,,,,,0,0,0,0,,0,0,0,
Total,2010,Rural,Great Lake,Rich,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: Primary,52.0,0,0,0,0,0,100,0.743546,0,100,100,,,0,0,0,0,0,0,0,,,,,,0,0,0,0,,0,0,0,
Total,2010,Rural,Great Lake,Middle,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: Primary,29.0,0,0,0,0,0,100,0.743546,100,100,100,,,0,0,0,0,0,0,0,,,,,,0,0,0,0,,0,0,0,
Total,2010,Rural,Great Lake,Poorest,Elderly HoH: NO,Female,CH Sex: Male,Mother Edu: Primary,12.0,0,0,100,100,100,100,0.743546,100,0,0,,100.0,100,0,0,100,0,100,0,0.0,,,,3.0,0,100,0,0,100.0,0,0,0,0.0
Total,2010,Rural,Great Lake,Rich,Elderly HoH: NO,Female,CH Sex: Male,Mother Edu: Primary,53.0,0,0,0,0,0,100,0.743546,0,100,100,,,0,0,0,0,0,0,0,,,,,,0,0,0,0,,0,0,0,
Total,2010,Rural,Great Lake,Richest,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: Primary,36.0,0,0,0,0,0,100,0.743546,0,100,100,,,0,0,0,0,0,0,0,,,,,,0,0,0,0,,0,0,0,
Total,2010,Rural,Great Lake,Richest,Elderly HoH: NO,Female,CH Sex: Male,Mother Edu: Secondary,,0,0,0,0,0,0,0.743546,0,100,100,,,0,0,0,0,0,0,0,,,,,,0,0,0,0,,0,0,0,
Total,2010,Rural,Great Lake,Richest,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: Secondary,5.0,100,0,0,0,0,0,0.743546,100,100,100,100.0,,0,0,0,0,0,0,0,,,,,,0,0,0,0,,0,0,0,
Total,2010,Rural,Great Lake,Richest,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: Secondary,29.0,0,0,0,0,0,100,0.743546,100,100,100,,,0,0,0,0,0,0,0,,,,,,0,0,0,0,,0,0,0,
Total,2010,Rural,Great Lake,Richest,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: Secondary,17.0,0,0,100,100,100,100,0.743546,0,0,0,,0.0,100,0,100,100,0,100,0,0.0,5.0,,,5.0,0,0,100,100,100.0,0,100,0,0.0
Total,2010,Rural,Great Lake,Rich,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: Primary,34.0,0,0,0,0,0,100,0.743546,0,100,100,,,0,0,0,0,0,0,0,,,,,,0,0,0,0,,0,0,0,
Total,2010,Rural,Great Lake,Middle,Elderly HoH: NO,Female,CH Sex: Male,Mother Edu: Primary,52.0,0,0,0,0,0,100,0.743546,0,100,100,,,0,0,0,0,0,0,0,,,,,,0,0,0,0,,0,0,0,
Total,2010,Rural,Great Lake,Middle,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: Primary,,0,0,0,0,0,0,0.743546,0,100,100,,,0,0,0,0,0,0,0,,,,,,0,0,0,0,,0,0,0,
Total,2010,Rural,Great Lake,Rich,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: Secondary,8.0,0,100,0,0,100,100,0.743546,100,0,0,,,100,0,0,100,0,100,0,0.0,,,,4.0,100,0,100,0,100.0,0,0,0,0.0
Total,2010,Rural,Great Lake,Richest,Elderly HoH: YES,Male,CH Sex: Male,Mother Edu: Primary,11.0,0,0,100,0,100,100,0.833272,100,0,0,,,100,0,0,100,0,0,100,0.0,,,,3.0,0,100,0,0,100.0,0,0,0,0.0
Total,2010,Rural,Great Lake,Middle,Elderly HoH: NO,Female,CH Sex: Female,Mother Edu: Primary,21.0,0,0,100,100,100,100,0.833272,100,0,0,,100.0,100,0,0,100,0,100,0,0.0,,,,3.0,0,100,0,0,100.0,0,0,0,0.0
Total,2010,Rural,Great Lake,Rich,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: Secondary,19.0,0,0,100,100,100,100,0.833272,100,0,0,,100.0,100,100,0,100,100,100,100,100.0,,,,5.0,0,100,100,0,100.0,100,0,0,100.0
Total,2010,Rural,Great Lake,Rich,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: Primary,9.0,0,0,100,0,100,100,0.833272,100,0,0,,,100,0,0,100,0,100,0,0.0,,,,3.0,0,100,0,0,100.0,0,0,0,0.0
Total,2010,Rural,Great Lake,Rich,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: Secondary,29.0,0,0,0,0,0,100,0.833272,0,100,100,,,0,0,0,0,0,0,0,,,,,,0,0,0,0,,0,0,0,
Total,2010,Rural,Great Lake,Middle,Elderly HoH: NO,Female,CH Sex: Male,Mother Edu: Primary,,0,0,0,0,0,0,0.833272,0,100,100,,,0,0,0,0,0,0,0,,,,,,0,0,0,0,,0,0,0,
Total,2010,Rural,Great Lake,Middle,Elderly HoH: NO,Female,CH Sex: Female,Mother Edu: Primary,12.0,0,0,100,100,100,100,0.833272,100,0,0,,100.0,100,0,100,100,0,100,100,100.0,,,,5.0,0,100,100,0,100.0,100,0,0,100.0
Total,2010,Rural,Great Lake,Poor,Elderly HoH: YES,Male,CH Sex: Female,Mother Edu: Primary,22.0,0,0,100,100,100,100,0.833272,0,0,0,,0.0,100,0,0,100,0,0,0,0.0,,,,5.0,0,0,100,100,100.0,0,0,0,0.0
Total,2010,Rural,Great Lake,Poor,Elderly HoH: YES,Male,CH Sex: Female,Mother Edu: Secondary,31.0,0,0,0,0,0,100,0.833272,0,100,100,,,0,0,0,0,0,0,0,,,,,,0,0,0,0,,0,0,0,
Total,2010,Rural,Great Lake,Middle,Elderly HoH: YES,Female,CH Sex: Male,Mother Edu: None/ECE,39.0,0,0,0,0,0,100,0.833272,0,100,100,,,0,0,0,0,0,0,0,,,,,,0,0,0,0,,0,0,0,
Total,2010,Rural,Great Lake,Middle,Elderly HoH: YES,Female,CH Sex: Male,Mother Edu: Secondary,28.0,0,0,0,0,0,100,0.833272,0,100,100,,,0,0,0,0,0,0,0,,,,,,0,0,0,0,,0,0,0,
Total,2010,Rural,Great Lake,Middle,Elderly HoH: YES,Female,CH Sex: Female,Mother Edu: Primary,21.0,0,0,100,100,100,100,0.833272,100,0,0,,100.0,100,100,0,100,100,100,0,100.0,,,,6.0,0,100,100,0,100.0,100,0,0,100.0
Total,2010,Rural,Great Lake,Rich,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: Primary,13.0,0,0,100,100,100,100,0.833272,100,0,0,,100.0,100,100,0,100,100,100,100,100.0,,,,5.0,0,100,100,0,100.0,100,0,0,100.0
Total,2010,Rural,Great Lake,Poor,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: Secondary,57.0,0,0,0,0,0,100,0.833272,0,100,100,,,0,0,0,0,0,0,0,,,,,,0,0,0,0,,0,0,0,
Total,2010,Rural,Great Lake,Poorest,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: Primary,3.0,100,0,0,0,0,0,0.833272,100,100,100,100.0,,0,0,0,0,0,0,0,,,,,,0,0,0,0,,0,0,0,
Total,2010,Rural,Great Lake,Poor,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: Primary,21.0,0,0,100,100,100,100,0.833272,0,0,0,,0.0,100,100,0,100,100,100,100,100.0,,,,4.0,0,0,100,100,100.0,0,0,0,0.0
Total,2010,Rural,Great Lake,Rich,Elderly HoH: NO,Female,CH Sex: Male,Mother Edu: Secondary,32.0,0,0,0,0,0,100,0.833272,0,100,100,,,0,0,0,0,0,0,0,,,,,,0,0,0,0,,0,0,0,
Total,2010,Rural,Great Lake,Poorest,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: Primary,7.0,0,100,0,0,100,100,0.78212,100,0,0,,,100,0,0,100,0,0,0,0.0,,,,3.0,100,0,0,0,100.0,0,0,0,0.0
Total,2010,Rural,Great Lake,Poorest,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: Primary,20.0,0,0,100,100,100,100,0.78212,100,0,0,,100.0,100,0,0,100,100,100,0,100.0,,,,3.0,0,100,0,0,100.0,100,0,0,100.0
Total,2010,Rural,Great Lake,Poor,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: None/ECE,53.0,0,0,0,0,0,100,0.78212,0,100,100,,,0,0,0,0,0,0,0,,,,,,0,0,0,0,,0,0,0,
Total,2010,Rural,Great Lake,Poor,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: Secondary,36.0,0,0,0,0,0,100,0.78212,0,100,100,,,0,0,0,0,0,0,0,,,,,,0,0,0,0,,0,0,0,
Total,2010,Rural,Great Lake,Poorest,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: Primary,23.0,0,0,100,100,100,100,0.78212,100,0,0,,100.0,100,0,0,100,0,0,0,0.0,,,,3.0,0,100,0,0,100.0,0,0,0,0.0
Total,2010,Rural,Great Lake,Poorest,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: Primary,35.0,0,0,0,0,0,100,0.78212,0,100,100,,,0,0,0,0,0,0,0,,,,,,0,0,0,0,,0,0,0,
Total,2010,Rural,Great Lake,Poor,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: Secondary,3.0,100,0,0,0,0,0,0.78212,100,100,100,100.0,,0,0,0,0,0,0,0,,,,,,0,0,0,0,,0,0,0,
Total,2010,Rural,Great Lake,Poor,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: None/ECE,8.0,0,100,0,0,100,100,0.78212,100,0,0,,,100,0,0,100,0,100,0,0.0,,,,3.0,100,0,0,0,100.0,0,0,0,0.0
Total,2010,Rural,Great Lake,Poorest,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: None/ECE,16.0,0,0,100,100,100,100,0.78212,100,0,0,,100.0,100,0,0,100,0,100,0,0.0,,,,3.0,0,100,0,0,100.0,0,0,0,0.0
Total,2010,Rural,Great Lake,Middle,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: Primary,53.0,0,0,0,0,0,100,0.78212,0,100,100,,,0,0,0,0,0,0,0,,,,,,0,0,0,0,,0,0,0,
Total,2010,Rural,Great Lake,Poor,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: Primary,44.0,0,0,0,0,0,100,0.78212,0,100,100,,,0,0,0,0,0,0,0,,,,,,0,0,0,0,,0,0,0,
